value,qualifiers,dateTime,station,parameter,param_code
15.9,['P'],2026-02-10 15:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.0,['P'],2026-02-10 15:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.0,['P'],2026-02-10 15:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.1,['P'],2026-02-10 16:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.1,['P'],2026-02-10 16:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.2,['P'],2026-02-10 16:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.2,['P'],2026-02-10 16:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.3,['P'],2026-02-10 17:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.3,['P'],2026-02-10 17:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.4,['P'],2026-02-10 17:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.4,['P'],2026-02-10 17:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.4,['P'],2026-02-10 18:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.5,['P'],2026-02-10 18:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.5,['P'],2026-02-10 18:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.5,['P'],2026-02-10 18:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.6,['P'],2026-02-10 19:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.6,['P'],2026-02-10 19:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.6,['P'],2026-02-10 19:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.6,['P'],2026-02-10 19:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.6,['P'],2026-02-10 20:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.5,['P'],2026-02-10 20:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.5,['P'],2026-02-10 20:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.4,['P'],2026-02-10 20:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.5,['P'],2026-02-10 21:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.5,['P'],2026-02-10 21:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.5,['P'],2026-02-10 21:30:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.4,['P'],2026-02-10 21:45:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.4,['P'],2026-02-10 22:00:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
16.4,['P'],2026-02-10 22:15:00-05:00,MANATEE RIVER AT RYE FL,Temperature,00010
